Date,Open,High,Low,Close,Volume
20130102,30.606060028076172,30.606060028076172,30.303030014038086,30.389610290527344,21690900.0
20130103,30.4761905670166,30.649349212646484,30.432899475097656,30.56277084350586,25839660.0
20130104,30.56277084350586,30.56277084350586,30.173160552978516,30.303030014038086,15934380.0
20130107,30.303030014038086,30.606060028076172,30.259740829467773,30.606060028076172,19566855.0
20130108,30.56277084350586,30.649349212646484,30.259740829467773,30.389610290527344,17326155.0
20130109,30.3463191986084,31.2987003326416,30.303030014038086,31.16883087158203,42857430.0
20130110,31.428571701049805,32.20779037475586,31.212120056152344,32.20779037475586,60993240.0
20130111,32.467533111572266,32.683982849121094,31.774890899658203,31.774890899658203,36234660.0
20130114,31.51515007019043,31.86147117614746,31.2987003326416,31.86147117614746,19589955.0
20130115,31.86147117614746,31.904760360717773,30.995670318603516,30.995670318603516,26867610.0
20130116,31.16883087158203,31.16883087158203,30.735929489135742,30.735929489135742,18813795.0
20130117,30.822509765625,31.428571701049805,30.389610290527344,30.4761905670166,29740095.0
20130118,30.995670318603516,31.428571701049805,30.822509765625,31.428571701049805,25555530.0
20130121,31.51515007019043,31.601730346679688,31.16883087158203,31.51515007019043,16068360.0
20130122,31.601730346679688,31.99134063720703,31.38528060913086,31.99134063720703,22453200.0
20130123,31.99134063720703,32.03463363647461,31.73160171508789,31.86147117614746,15571710.0
20130124,31.73160171508789,31.86147117614746,31.25541114807129,31.601730346679688,18620910.0
20130125,31.86147117614746,31.86147117614746,31.2987003326416,31.51515007019043,14300055.0
20130128,31.688310623168945,31.86147117614746,31.428571701049805,31.86147117614746,17894415.0
20130129,31.99134063720703,32.03463363647461,31.73160171508789,31.904760360717773,15515115.0
20130130,32.03463363647461,32.42424011230469,32.03463363647461,32.20779037475586,32953305.0
20130131,32.380950927734375,32.683982849121094,32.20779037475586,32.683982849121094,32806620.0
20130201,32.683982849121094,32.85714340209961,32.51082229614258,32.85714340209961,18699450.0
20130204,33.11688232421875,34.63203430175781,33.11688232421875,34.02597427368164,61029045.0
20130205,33.93939208984375,34.5887451171875,33.80952453613281,34.28571319580078,54377400.0
20130206,34.63203430175781,35.021644592285156,34.24242401123047,34.4588737487793,41352465.0
20130218,34.978355407714844,34.978355407714844,34.54545211791992,34.5887451171875,35508165.0
20130219,34.50216293334961,34.54545211791992,33.93939208984375,34.37229537963867,23764125.0
20130220,34.71861267089844,34.89177322387695,34.329002380371094,34.63203430175781,30378810.0
20130221,34.4588737487793,34.4588737487793,33.766231536865234,33.766231536865234,22492470.0
20130222,33.766231536865234,34.4588737487793,33.549781799316406,34.02597427368164,29472135.0
20130225,34.63203430175781,34.63203430175781,34.28571319580078,34.28571319580078,19677735.0
20130226,34.02597427368164,34.4588737487793,33.766231536865234,33.98268127441406,19183395.0
20130227,34.06926345825195,34.63203430175781,33.98268127441406,34.63203430175781,23141580.0
20130301,34.80519485473633,35.15151596069336,34.80519485473633,34.978355407714844,30808470.0
20130304,34.978355407714844,34.978355407714844,34.28571319580078,34.329002380371094,20758815.0
20130305,34.63203430175781,34.978355407714844,34.415584564208984,34.935062408447266,29521800.0
20130306,35.324676513671875,35.36796569824219,34.89177322387695,34.978355407714844,25123560.0
20130307,35.06493377685547,35.584415435791016,34.978355407714844,35.497833251953125,34622280.0
20130308,36.01731491088867,37.40259552001953,35.97402572631836,37.22943878173828,71896440.0
20130311,37.316017150878906,38.26839828491211,37.22943878173828,38.095237731933594,61795965.0
20130312,38.095237731933594,38.095237731933594,36.3636360168457,36.45021438598633,52040835.0
