Date,Open,High,Low,Close,Volume
20130102,324.5,325.0,322.0,325.0,7899000.0
20130103,327.0,329.0,325.5,326.0,10614000.0
20130104,308.0,314.0,304.5,305.5,24953000.0
20130107,301.5,302.5,295.0,301.5,15684000.0
20130108,300.0,303.0,299.0,302.5,10876000.0
20130109,303.5,312.0,302.5,312.0,11564000.0
20130110,317.0,317.0,310.0,314.0,12989000.0
20130111,315.5,315.5,310.0,312.5,4408000.0
20130114,312.0,312.0,306.5,312.0,4922000.0
20130115,314.0,314.0,311.0,311.5,4592000.0
20130116,314.0,314.0,301.0,309.5,10406000.0
20130117,306.0,310.5,306.0,307.0,6855000.0
20130118,308.5,310.0,304.0,309.0,5456000.0
20130121,312.0,318.5,310.0,316.5,7654000.0
20130122,319.0,320.0,315.5,318.5,6246000.0
20130123,318.5,318.5,316.0,317.5,6051000.0
20130124,316.0,319.5,313.5,319.0,5227000.0
20130125,320.0,324.0,317.5,322.0,6957000.0
20130128,325.0,326.0,322.5,325.0,6456000.0
20130129,328.0,328.0,323.5,325.0,5494000.0
20130130,326.0,327.0,323.5,325.0,7943000.0
20130131,325.0,325.0,318.0,323.0,9457000.0
20130201,322.5,325.0,321.5,324.5,6203000.0
20130204,324.5,326.0,320.5,325.0,7545000.0
20130205,324.5,326.5,323.0,326.0,9665000.0
20130206,327.0,327.5,324.0,325.0,6058000.0
20130218,328.0,329.0,324.0,325.0,5878000.0
20130219,325.0,326.0,322.0,324.0,4416000.0
20130220,327.0,328.0,325.0,326.0,5678000.0
20130221,326.0,327.0,325.0,326.0,4398000.0
20130222,326.0,327.0,324.5,327.0,3928000.0
20130225,328.0,339.5,325.5,336.5,12155000.0
20130226,335.5,336.5,330.0,330.0,6866000.0
20130227,332.0,335.5,331.5,333.5,6696000.0
20130301,338.0,340.0,336.5,338.5,8501000.0
20130304,340.5,342.5,339.0,341.5,11957000.0
20130305,344.0,352.0,342.0,347.5,16143000.0
20130306,350.5,353.0,346.0,346.0,9676000.0
20130307,346.0,348.5,344.0,346.0,5970000.0
20130308,346.5,353.5,346.5,348.0,6786000.0
20130311,352.0,352.0,349.0,350.0,9062000.0
20130312,350.0,360.0,349.0,355.0,13112000.0
20130313,358.0,359.5,352.0,352.5,5903000.0
20130314,352.5,354.0,343.0,343.0,7212000.0
20130315,348.0,348.0,341.5,341.5,6163000.0
20130318,341.0,341.5,338.5,338.5,6392000.0
20130319,343.5,344.5,339.0,340.0,7260000.0
20130320,340.0,347.0,338.0,339.0,7925000.0
20130321,342.0,342.0,332.0,332.0,10937000.0
20130322,334.0,337.0,333.0,333.0,6201000.0
20130325,335.5,339.0,332.0,338.5,5198000.0
20130326,340.0,342.0,338.0,340.0,5158000.0
20130327,341.5,343.5,341.0,342.5,5664000.0
20130328,345.0,345.0,339.0,340.0,5660000.0
20130329,344.5,344.5,340.5,342.0,3555000.0
20130401,342.0,344.0,340.5,341.0,3338000.0
20130402,342.5,351.0,341.5,348.0,8420000.0
20130403,350.0,358.5,349.0,356.0,12078000.0
20130408,351.0,352.0,346.0,350.0,10124000.0
20130409,351.0,353.5,349.0,349.5,6903000.0
20130410,353.0,353.5,349.0,352.5,7309000.0
20130411,354.0,354.5,349.5,351.0,5133000.0
20130412,351.0,351.0,345.5,345.5,4285000.0
20130415,345.0,349.0,337.0,337.5,6059000.0
20130416,336.0,342.0,335.5,340.5,4887000.0
20130417,341.0,348.0,338.5,347.0,4595000.0
20130418,346.0,350.0,343.5,346.0,3336000.0
20130419,349.0,358.0,349.0,358.0,14659000.0
20130422,361.0,367.0,361.0,363.0,13071000.0
20130423,365.0,365.0,358.0,365.0,5330000.0
20130424,368.0,368.0,363.0,365.0,6322000.0
20130425,364.0,364.0,360.5,362.0,4791000.0
20130426,361.0,362.0,355.0,355.0,6500000.0
20130429,357.0,361.5,355.5,361.5,4349000.0
20130430,363.0,365.5,360.0,360.0,5423000.0
20130502,362.0,366.0,354.0,366.0,7608000.0
20130503,367.5,368.0,363.5,366.5,5917000.0
20130506,369.0,373.5,369.0,372.5,7906000.0
20130507,375.5,380.0,368.5,371.0,14252000.0
20130508,373.5,379.5,373.5,376.0,10314000.0
20130509,380.0,380.0,374.0,375.0,5609000.0
20130510,375.0,375.0,367.5,369.0,6830000.0
20130513,366.5,370.0,366.5,369.0,3754000.0
20130514,370.5,372.0,367.0,367.0,2868000.0
20130515,367.0,370.5,366.0,367.5,4185000.0
20130516,370.0,378.0,370.0,374.0,7909000.0
20130517,377.0,382.0,377.0,379.0,9423000.0
20130520,380.0,383.5,378.5,378.5,4775000.0
