Date,Open,High,Low,Close,Volume
20130102,16.375,17.25,16.375,17.125,114304800.0
20130103,17.4375,17.625,17.0,17.1875,92957600.0
20130104,17.375,17.8125,17.1875,17.1875,152776800.0
20130107,17.1875,17.1875,16.25,16.3125,122548800.0
20130108,16.375,16.6875,16.1875,16.5,97553600.0
20130109,16.3125,16.3125,15.8125,16.125,125921600.0
20130110,16.125,16.25,15.875,15.875,116852000.0
20130111,15.8125,15.8125,15.5,15.5625,110248800.0
20130114,15.375,15.75,15.3125,15.75,72966400.0
20130115,15.625,15.75,15.25,15.25,84953600.0
20130116,15.0625,15.1875,14.625,14.625,128688800.0
20130117,15.0,15.1875,14.5625,14.5625,96068000.0
20130118,14.5625,14.8125,14.375,14.375,147558400.0
20130121,14.4375,14.6875,14.375,14.625,62695200.0
20130122,14.6875,14.6875,14.375,14.5625,47670400.0
20130123,14.5625,14.9375,14.5625,14.75,98160800.0
20130124,14.75,15.0,14.6875,14.875,97618400.0
20130125,14.875,15.125,14.875,15.0,64617600.0
20130128,14.9375,15.125,14.625,14.6875,50391200.0
20130129,14.6875,15.25,14.625,15.25,68269600.0
20130130,15.25,15.3125,14.875,14.875,66438400.0
20130131,14.9375,15.125,14.8125,15.0625,55082400.0
20130201,15.125,15.125,14.625,14.6875,55476000.0
20130204,14.75,14.8125,14.4375,14.4375,49980000.0
20130205,14.3125,14.3125,13.875,13.875,71600000.0
20130206,13.875,14.125,13.875,14.125,47696800.0
20130218,14.4375,15.0625,14.375,15.0625,119123200.0
20130219,15.375,16.0625,15.375,16.0625,153838400.0
20130220,16.375,16.375,15.875,15.9375,128877600.0
20130221,15.8125,16.125,15.75,16.0,72657600.0
20130222,16.125,16.8125,16.125,16.25,145595200.0
20130225,16.3125,16.5625,16.3125,16.4375,60897600.0
20130226,16.25,16.25,15.9375,16.125,60775200.0
20130227,16.1875,16.5,16.125,16.125,74304800.0
20130301,16.5,16.5625,16.25,16.3125,59417600.0
20130304,16.375,16.5,15.875,15.875,47694400.0
20130305,16.0,16.875,16.0,16.6875,115316800.0
20130306,16.9375,17.0625,16.375,16.375,114600800.0
20130307,16.25,16.5625,16.25,16.4375,75930400.0
20130308,16.6875,16.875,16.625,16.625,72588800.0
20130311,16.75,17.6875,16.625,17.4375,168819200.0
20130312,17.5625,17.6875,17.0,17.0,106442400.0
20130313,17.25,17.25,16.625,16.625,84055200.0
20130314,16.625,16.75,16.25,16.3125,58856000.0
20130315,16.5,16.5625,15.8125,15.875,115221600.0
20130318,15.75,16.125,15.75,15.8125,84649600.0
20130319,15.875,16.0625,15.8125,15.9375,77299200.0
20130320,15.8125,15.9375,15.5,15.9375,63456800.0
20130321,16.0,16.0625,15.6875,15.8125,67724000.0
20130322,15.8125,15.9375,15.625,15.625,49559200.0
20130325,15.9375,16.6875,15.9375,16.4375,123356800.0
20130326,16.375,16.5,16.1875,16.4375,69437600.0
20130327,16.625,17.0,16.5625,16.75,135468000.0
20130328,16.6875,16.6875,16.0625,16.25,78788800.0
20130329,16.625,16.6875,16.375,16.5,53643200.0
20130401,16.6875,16.6875,16.1875,16.25,39687200.0
20130402,16.125,16.5,16.125,16.375,30505600.0
20130403,16.375,16.5,16.25,16.5,27428800.0
20130408,16.125,16.4375,16.0625,16.0625,81576000.0
20130409,16.375,16.4375,15.75,16.0,73661600.0
20130410,16.3125,16.5,16.25,16.3125,60244800.0
20130411,16.5,16.625,16.4375,16.5625,41262400.0
20130412,16.6875,16.6875,16.25,16.4375,33620800.0
20130415,16.25,16.375,16.0,16.0625,22181600.0
20130416,15.75,16.1875,15.6875,16.125,19533600.0
20130417,16.125,16.25,16.0,16.125,20355200.0
20130418,16.1875,16.8125,16.1875,16.4375,81408000.0
20130419,16.5625,16.6875,16.4375,16.4375,46289600.0
20130422,16.5625,16.625,16.1875,16.1875,30716000.0
20130423,16.25,16.4375,16.1875,16.25,32139200.0
20130424,16.4375,17.0625,16.4375,16.8125,133196800.0
20130425,16.75,16.875,16.5625,16.6875,61865600.0
20130426,16.9375,17.0,16.5,16.5,50879200.0
20130429,16.75,17.125,16.5625,17.0625,94409600.0
20130430,17.3125,17.5,16.875,16.9375,119279200.0
20130502,17.75,17.75,17.0,17.0,182764000.0
20130503,16.875,17.125,16.625,17.0625,169157600.0
20130506,17.3125,17.3125,17.0625,17.0625,86309600.0
20130507,17.0625,17.125,16.75,16.8125,59138400.0
20130508,16.875,17.25,16.8125,17.1875,93424000.0
20130509,17.1875,17.25,16.75,16.8125,96556800.0
20130510,16.9375,16.9375,16.5625,16.5625,79490400.0
20130513,16.5625,16.75,16.4375,16.6875,57456800.0
